# GENERATED by backend/scripts/reconcile_twda.py — do not hand-edit.
# Human decisions belong in backend/src/data/twda_rulings.tsv, which
# is an input to this file.
#
# twda_id<TAB>action[<TAB>target]
#   attach:<tournament_uid>  we already hold this event
#   create<TAB><user_uid>    reconstruct it, won by that member
#   create                   reconstruct nothing: winner unresolved
#   review<TAB><uids>        UNDECIDED, with the candidates
#
# The consumer creates only `create` lines carrying a winner. Every
# other shape is logged and skipped, never guessed at.
12765	attach:019f1a1a-b7ba-7789-80b5-d8d0a52fe701
12767	attach:019f1a1a-b7bf-7160-bf00-ba31574e4dcb
12774	attach:019f1a1a-b8b9-7527-8e68-419bbf33a867
12779	attach:019f1a1a-b8d2-7302-86d7-9707edf3a790
12783	attach:019f1a1a-b932-762b-af87-0b62e86cd19f
12785	attach:019f1a1a-b939-76bc-ba07-d1222a6b3290
12788	attach:019f1a1a-b944-76ad-9f97-feedbc7be4bd
12793	attach:019f1a1a-ba41-746a-9744-b2fb97fa33f8
12797	attach:019f1a1a-ba64-74fd-bc9f-0fed297e0263
12799	attach:019f1a1a-ba71-739d-a923-39d36e9d5bd5
12800	attach:019f1a1a-ba76-740f-9ec6-8a630f2f78c8
12805	attach:019f1a1a-bb15-725e-b974-4e4735bf5739
12806	attach:019f1a1a-bb1d-72b3-89ac-b1efde8c23ab
12810	attach:019f1a1a-bb6f-70aa-b898-158448273415
12812	attach:019f1a1a-bc1e-7263-b994-d9a7b118af56
12818	attach:019f1a1a-bc87-7569-bd9f-c6369f6993ef
12822	attach:019f1a1a-bfc7-75fe-bd5c-69511de23051
12823	attach:019f1a1a-bfd9-709c-9744-968a2c926865
12826	attach:019f1a1a-c010-745c-9222-b4f2d3341e5b
12827	attach:019f1a1a-c014-7567-a1a4-be82d2b07496
12831	attach:019f1a1a-c0b0-74dc-8a66-2a1d6be07301
12842	attach:019f1a1a-c1cd-7027-b9d0-00970c68edde
12845	attach:019f1a1a-c1d8-76c3-8730-c5cec9f49f0c
12846	attach:019f1a1a-c1df-7402-8f99-84c58fb162f1
12847	attach:019f1a1a-c1e4-75d3-b8a2-a8b4d81d26f0
12848	attach:019f1a1a-c1ea-75cb-b135-2efbda5f1028
12851	attach:019f1a1a-c2d9-74a2-ad6d-118f661954b7
12852	attach:019f1a1a-c2e1-7184-99f5-01beeaa6e23c
12853	attach:019f1a1a-c2ea-7075-9abc-4694f40b83e1
12856	attach:019f1a1a-c323-7248-bded-59626d5ede94
12857	attach:019f1a1a-c32c-75df-a2ef-92510628746a
12858	attach:019f1a1a-c332-73a1-ab34-5ecf4c5cd768
12860	attach:019f1a1a-c352-7523-a830-1cbd2eb84d0b
12862	attach:019f1a1a-c3d4-75c4-bde2-83f443008eab
12863	attach:019f1a1a-c3fd-7584-9831-b8ea5b4b775c
12866	attach:019f1a1a-c411-7513-8e50-5a5f5e91e1d5
12867	attach:019f1a1a-c419-71cc-b953-5576791f5dab
12868	attach:019f1a1a-c423-7477-a5d2-911e8d42026a
12872	attach:019f1a1a-c499-7427-bb1c-93d14ab7702c
12875	attach:019f1a1a-c4a0-745c-8f97-3c671fdf329b
12877	attach:019f1a1a-c4aa-7001-9e54-96913dc31dbf
12878	attach:019f1a1a-c4b0-7466-8919-997aa9849c6d
12879	attach:019f1a1a-c4b5-74ac-ac26-ad6457c1c8c1
12880	attach:019f1a1a-c4bd-7728-9f4f-c2817ae72f6f
12881	attach:019f1a1a-c53b-708f-8877-5d576e339981
12882	attach:019f1a1a-c53f-7312-8e20-579cf9058710
12886	attach:019f1a1a-c571-73ec-9c56-704e72b1c002
12887	attach:019f1a1a-c579-735f-a04a-f2b7f633851b
12888	attach:019f1a1a-c57e-7270-8805-c61e97408565
12890	attach:019f1a1a-c585-705e-9ead-fa33f868d03b
12891	attach:019f1a1a-c607-749f-8125-65464972d23b
12892	attach:019f1a1a-c60c-74eb-9756-c01feffb58dc
12893	attach:019f1a1a-c619-7378-be43-c8937fe5ba6d
12913	attach:019f1a1a-c784-72cf-bcb9-0c30bc62db0e
12914	attach:019f1a1a-c78a-7472-8627-0c02ea0192b7
12915	attach:019f1a1a-c793-74fe-93ad-523828580ab3
12917	attach:019f1a1a-c7a0-76a0-8a48-ea64e47f6194
12922	attach:019f1a1a-c831-70b7-9d8c-6b0f17ec20c0
12926	attach:019f1a1a-c840-70fb-aded-e9f84fe9139a
12929	attach:019f1a1a-c84d-7221-bc33-2b6e9249a32b
12932	attach:019f1a1a-c8c4-7722-b9cf-ce6ad8d941f0
12933	attach:019f1a1a-c8cb-74f6-910f-31713784c3bd
12936	attach:019f1a1a-c8f4-72f0-87f4-16d6c971872b
12941	attach:019f1a1a-c9b3-753d-be0d-35e22bf0a1bc
12956	attach:019f1a1a-ca7f-743e-aa9e-0d4576467741
12957	attach:019f1a1a-ca84-7782-adf5-5c19a597a49b
12963	attach:019f1a1a-cb26-7750-ad85-5b7839ad2022
12968	attach:019f1a1a-cb31-71b6-86bc-986efa1f8942
12969	attach:019f1a1a-cb36-76dd-a339-63381f1f9af7
12977	attach:019f1a1a-cc25-7081-b9e4-bccdd27d40fc
12979	attach:019f1a1a-cc40-70ab-9ac7-9dcf6ce8660e
12980	attach:019f1a1a-cc64-7417-b257-11ff150ed630
12983	attach:019f1a1a-ccf8-7390-a299-5988289eeb23
12986	attach:019f1a1a-cd05-77fb-9704-c45bbf6ae548
12995	attach:019f1a1a-cdaa-7131-862e-d16bad931ed0
12996	attach:019f1a1a-cdb1-75e5-a61c-6a91d5acddd5
13000	attach:019f1a1a-cde7-7201-8fe8-99bbca6d066e
13001	attach:019f1a1a-cec5-7621-a4db-c2844e617f6a
13008	attach:019f1a1a-cf0a-7064-8932-8f169440a0ba
13009	attach:019f1a1a-cf17-74f6-96c6-2a6c513f0cc6
13011	attach:019f1a1a-cf8d-746d-82e7-ab6d6c0f0c30
13012	attach:019f1a1a-cf93-7283-bd58-be182e45c0f4
13025	attach:019f1a1a-d04c-7175-a51f-fc29e57dff8b
13027	attach:019f1a1a-d054-7407-9ec5-6462b4a7b9f8
13037	attach:019f1a1a-d10e-7246-b1e4-661536c23ee1
13039	attach:019f1a1a-d117-728e-901d-448ea583d4c1
13041	attach:019f1a1a-d1a7-70b8-bffd-0a9fd0c32db6
13044	attach:019f1a1a-d1af-7304-be1f-3ea169a9ac15
13047	attach:019f1a1a-d1b5-7690-8ef3-23026ff11f6a
13048	attach:019f1a1a-d1b9-7252-bed9-68bd2ad72a0b
13049	attach:019f1a1a-d1bd-74a7-bfdc-b33bb3d073e0
13050	attach:019f1a1a-d1c2-739a-8dfe-45ac44191c3b
13075	attach:019f1a1a-d390-735b-880a-4f1c2be491b6
13078	attach:019f1a1a-d3be-70c9-9036-cbfedcf76ae4
13079	attach:019f1a1a-d3c6-7789-9d09-6ddf29c3f5c0
13081	attach:019f1a1a-d42f-70f9-861e-3e62626730d8
13082	attach:019f1a1a-d435-71f8-963e-84ad8b138f18
13093	attach:019f1a1a-d596-7135-9f80-6ba74da54062
13096	attach:019f1a1a-d5a6-73a8-8e18-0310844509b1
13097	attach:019f1a1a-d5ab-76ec-b8c8-e955b865ae9c
13101	attach:019f1a1a-d60f-75c7-a329-08780ec59a8a
13102	attach:019f1a1a-d618-7197-9fc4-b08ccd98a7b8
13107	attach:019f1a1a-d62a-765a-86cb-08597123f0c3
13108	attach:019f1a1a-d630-7008-8f09-047561c83a70
13109	attach:019f1a1a-d635-71ea-b174-ec7473dc663a
13117	attach:019f1a1a-d6e9-76b7-8184-643f0b373d26
13118	attach:019f1a1a-d6ec-77ae-987e-80de170b9cb3
13120	attach:019f1a1a-d711-7797-bce8-2b307bcf34b6
13121	attach:019f1a1a-d7b7-76a4-8a72-691269219c3b
13122	attach:019f1a1a-d7bd-71dc-9d51-b9826c346e7e
13126	attach:019f1a1a-d803-728f-9d22-8a9864fd48ee
13129	attach:019f1a1a-d810-73fd-b4c4-a965f3b0dde0
13131	attach:019f1a1a-d8b7-7519-a56c-3d03ff4105a3
13133	attach:019f1a1a-d8c6-74cd-a7f9-9b16ea474756
13134	attach:019f1a1a-d8ce-75ce-8543-01f224674cb5
13135	attach:019f1a1a-d8d6-70c5-8714-778639b815c5
13138	attach:019f1a1a-d8dd-709d-8f49-d3a813dbc4b3
13148	attach:019f1a1a-d9b3-74bc-b0f8-f9ca56aef878
13150	attach:019f1a1a-d9b7-75c7-88b5-1d43f5d9bf21
13153	attach:019f1a1a-da1e-70e6-a041-c3a0ac03e3d7
13154	attach:019f1a1a-da22-74bb-81c8-0595bb6a08d7
13155	attach:019f1a1a-da26-7781-b679-c71f27146c9d
13156	attach:019f1a1a-da45-717e-8c6f-acd8724bd780
13165	attach:019f1a1a-dae3-759b-9769-5ee2f1f1798b
13167	attach:019f1a1a-db0b-705c-8a97-f148dcfea164
13169	attach:019f1a1a-db37-7081-a407-b5b7cbd55701
13176	attach:019f1a1a-dbec-778a-bbda-0ae8176f39af
13183	attach:019f1a1a-dce7-7322-b865-631fe3e4a3b9
13186	attach:019f1a1a-dcf7-73e4-b8a0-95bef54bfc22
13189	attach:019f1a1a-dcfd-73f6-9185-4405d82029a1
13207	attach:019f1a1a-de77-73cb-aecf-fcdf1d6812de
13210	attach:019f1a1a-de8b-72b2-8f0a-5094b9da4053
13221	attach:019f1a1a-dfe8-73d3-adc9-126892d34103
13222	attach:019f1a1a-dff0-7323-9a8b-4f7a2e6b39cb
13230	attach:019f1a1a-e031-70de-9c15-e5e372ee61f6
13231	attach:019f1a1a-e105-7247-84db-e3a524f0bacc
13237	attach:019f1a1a-e136-744c-8db4-8645003b5c49
13243	attach:019f1a1a-e1fd-7365-b87c-1092cff204b0
13247	attach:019f1a1a-e22d-7282-8314-be7f396e64ad
13252	attach:019f1a1a-e305-7736-b87d-7cee1c8043bc
13259	attach:019f1a1a-e362-70f0-b9e3-e71b5bbd3fb7
13272	attach:019f1a1a-e546-735b-9094-561eb9fa6cdd
13279	attach:019f1a1a-e5ac-7038-a2e3-440c2b75629e
13295	attach:019f1a1a-e75e-70e4-b745-eb642b86c9ca
13299	attach:019f1a1a-e788-7671-a991-76eac410dcfe
13315	attach:019f1a1a-e8ed-73e9-86d1-7cd18891f535
13321	attach:019f1a1a-e958-7255-8393-b704ffe52da4
13322	attach:019f1a1a-e97e-77a3-962c-f648ed8e7e39
13326	attach:3faa5d42-8b8d-4ed5-a698-95de09e0bf8b
13328	attach:019f1a1a-e9b1-7432-9e4f-b6d92d9f7799
13333	attach:019f1a1a-ea5e-776c-b05f-6f70c5b390bf
13344	attach:019f1a1a-eafe-737d-b630-a26803e74b6d
13345	attach:019f1a1a-eb03-7273-939d-e526c1046242
13348	attach:019f1a1a-eb0c-743a-9ef8-e0b7474a7446
13350	attach:019f1a1a-eb12-70ea-aed6-793b7da35f7c
1999ecday2va	create	019f1a00-57bb-74d2-abe9-cd5ab0a98500
2010100krfk	attach:019f1a07-7073-7379-bbc3-602dc211b02b
201032point	create	019f19ff-d701-779c-8d35-ac04048c18d6
2010a3tbihl	attach:019f1a18-5d0b-7343-a629-cdcfa5d54543
2010aamsjc	create	019f19ff-9faf-71c7-bf4e-8f8bdbaf9ab4
2010aandabot	attach:019f1a18-5e58-7516-8fab-150d4c5b2f20
2010accss	attach:019f1a07-8c6b-7051-a085-4dcf46b13c8c
2010arargs	attach:019f1a02-00b0-742a-9b2b-42c47609f80c
2010atalp	create	019f1a00-462d-7506-8a9a-5ff9f0cd0533
2010babqcf	create	019f1a00-4e5a-741a-8a66-564683a36d58
2010badiafeb	attach:019f1a06-35e8-73aa-b0b6-6031c35be881
2010badiajune	attach:019f1a18-5b58-7377-bc29-a8d6da616c3c
2010bbbuk	attach:019f1a07-1ba7-721a-8cf6-acb7aeff8534
2010belgianecq	attach:019f1a07-878c-7010-9627-53c5b70867d1
2010belorussiannats	create	019f1a00-82b4-76eb-b459-9852e1dc46ba
2010bevapnaer	attach:019f1a06-18fd-7136-b9c6-fb66453396d8
2010bfw	attach:019f1a06-b8ef-7595-b494-5e0b43ffafd8
2010bodyofsunpf	attach:019f1a18-5987-7699-ab5a-dd4cb86d0ef1
2010boogalooii	create	019f1a00-6c60-75e6-a867-49933ded9ee4
2010bosvb	attach:019f1a07-5579-73a4-a6b1-a63646d1cbdf
2010breakthecodess	create	019f19ff-b402-779c-932c-99168acfc5fa
2010bsaustin	attach:019f1a01-f894-7561-a0c3-1a2c3e6cc759
2010campeonatopaulista	attach:019f1a18-54fb-77f5-87d7-66fc55700776
2010cgbi	attach:019f1a06-ee4d-7631-a50a-0aaf61dcb104
2010chilenosac	attach:019f1a18-5423-709c-94bf-38a6631cced5
2010cibin	create	019f1a00-53d8-7096-aadc-9c37b80432ca
2010coloradoqual	attach:019f1a18-53fe-76e8-85b7-3b08177516b6
2010commandperformancedc	attach:019f1a07-8eb8-703d-9f68-64016d86cc37
2010conclaveitaliano	attach:019f1a06-ae89-7543-a54b-196cf790bc5a
2010conklaavimq	attach:019f1a06-6a47-7035-8489-fc07e4b2af13
2010cotbithaca	create	019f19ff-f90f-7779-86a4-70b3668a0fda
2010cotcun	attach:019f1a06-6462-76d6-9878-1e4676ccdb0c
2010crno	attach:019f1a06-96eb-75c5-af49-510ba1f3fca7
2010crusadebreslau	attach:019f1a06-9ff6-7110-bd01-d25e2a87b810
2010ctfno	attach:019f1a07-09be-720e-a0d6-a6694789f5c2
2010czechecq	create	019f1a00-8893-767f-b8c7-a4e112d23f1f
2010czestochowabn	attach:019f1a06-930d-7761-870a-10df1a3a0b15
2010danishecq	create	019f19ff-d27e-74da-940a-b444199d9fa2
2010dansem2	attach:019f1a07-8d06-7087-9537-333bc554c8a4
2010dbatl	attach:019f1a07-8505-75c0-b9d9-4c5c3736878d
2010dbrbh	create	019f1a00-6718-74f2-8e94-0d309e0b492b
2010dnbbg	attach:019f1a18-567c-757d-846e-c241dbcebbef
2010donno	attach:019f1a07-77df-75bb-bc24-7ea107889278
2010dorkside	attach:019f1a06-b8ea-720a-bb63-2e3e67d474ee
2010dtdbarcelona	create	019f19ff-d5e5-73e5-99fd-65ccd61f94a1
2010dylangi	create	019f1a00-37fa-77b4-b08e-424c1fb73cbb
2010ec1stchance	create	019f1a00-4edf-762b-862e-c49441ea25fa
2010ecday1	attach:019f1a07-70ec-733f-a444-8a767501cc72
2010ecday2	attach:019f1a18-6017-7375-ad6c-d2ac068d281c
2010eclcq	create	019f1a00-6718-74f2-8e94-0d309e0b492b
2010eclegvam	attach:019f1a07-834f-72aa-90f0-9a3488641434
2010ecqgp2gs	attach:019f1a07-7f2a-74f5-babf-a8d20bcb7011
2010edgeotweac	attach:019f1a06-384c-7408-aa07-868cf0c0486b
2010emmqi	attach:019f1a07-969d-75d3-ae8d-9bc7ab893e49
2010emmqii	attach:019f1a07-73da-7519-8b90-a9d4a78bd68b
2010englisheq	attach:019f1a05-f1da-75bf-8500-1c69456a5248
2010eriecq	attach:019f1a07-5454-727e-a64d-49294f5f59e7
2010erolsbdt	attach:019f1a06-66e9-77c6-a1c8-10a69514680e
2010espoomq	attach:019f1a07-796b-7383-812d-44cb84753b80
2010eternalvigilancelf	attach:019f1a07-2e24-77f2-8447-79ffb77e7097
2010eyesofanewark	attach:019f1a07-4e2d-737e-b272-660ce992a60f
2010famousims	attach:019f1a06-38c9-77dc-9045-4be88b083c78
2010fanfarefe	create	019f19ff-92ab-769f-937d-bd6ee5159a99
2010fcqnol	attach:019f1a07-9570-7008-9c7b-d4b14045076f
2010finalnightsno	attach:019f1a07-7160-7501-a073-9c8c40366b2f
2010finalresistance	attach:019f1a07-960a-77e7-a26e-4047abc6b4fa
2010finnishecq	attach:019f1a07-791e-7155-948d-9b6c2d62f1be
2010fncqlyon	attach:019f1a06-be64-7125-956f-86428cedd686
2010fncsdplf	attach:019f1a07-76c0-71d2-b54a-059f388957bf
2010forlabdenver	create	019f19ff-8548-71cc-8cea-60f58f8e08a5
2010fpwlmb	create	019f1a00-82ab-7571-9998-0b91b1a7e6b8
2010fs2ii	create	019f1a00-1dfa-72fd-bc5f-61fe8740769c
2010fsbillerica	create	019f19ff-ed6b-7150-a083-c6850f84c781
2010fsbny	create	019f19ff-c121-72e8-bbfa-2faa4b9388e8
2010fscoimbra	create	019f1a00-c538-737d-b6f4-6a1a3707eb0a
2010fscolumbus	attach:019f1a07-7db2-7129-a108-25d84eead8ce
2010fssjc	create	019f19ff-9375-74eb-b289-839e4fb947bd
2010fsss	create	019f1a00-5b7c-706e-a352-153fb20b52e8
2010ftwri	attach:019f1a05-ebfe-74d3-891d-72f2514ce00f
2010gateway1	create	019f19ff-fc23-73fd-88df-d7d06dd1c08c
2010gateway2	create	019f19ff-fac0-7797-9bf7-2f2b3fe68a94
2010gateway3	create	019f19ff-fac0-7797-9bf7-2f2b3fe68a94
2010gateway4	create	019f19ff-fcdb-7261-b5e3-3954ee35d05c
2010germanecq	create	019f19ff-8742-73a4-ab08-b5233130e3a1
2010ghcpcr	create	019f1a00-8f00-7385-930c-fdd460fd859d
2010gothconeq	attach:019f1a05-e936-747e-a4e6-e78eec325f62
2010gsas	attach:019f1a07-822d-73c7-a5f9-2220b7ba6528
2010hfttsmci	attach:019f1a18-5e7c-70bd-8107-c238a6d60167
2010hncnh	create	019f1a00-6749-74f0-946a-58f3c46a85c6
2010hpjcno	attach:019f1a07-1a44-732f-b6dd-820251fb5759
2010hungarianecq	attach:019f1a07-8221-71bf-80fc-3d37074d3c01
2010hunrb	create	019f1a00-678b-75b3-8309-0a7eef113a5a
2010huntforkbi	create	019f19ff-b6ca-7715-b5ae-9d54b4590b9d
2010iconjsa	attach:019f1a18-566f-728e-ad13-ee507090f7bf
2010italyqualifier	attach:019f1a07-83e5-7325-a380-25a493bf9d07
2010kaldecq	attach:019f1a07-7751-77ea-a685-86d9e3a487eb
2010karshadvbot	attach:019f1a07-7f35-7143-85ca-3e4c534e2d35
2010kinintno	attach:019f1a07-718a-7468-abac-8aa8415e0556
2010kwamatiwane	attach:019f1a18-5f28-70ba-9eb5-3bc01bfd1303
2010lcmhj	attach:019f1a18-5906-777d-920d-202a7d738c87
2010lcqnol	attach:019f1a07-7d27-71c3-9144-ceeb77e10cfb
2010lctpdh	create
2010lisboaeq	attach:019f1a05-e705-70a4-9180-a74141691ff7
2010lvavbs	attach:019f1a07-70e3-71ef-b1c7-e0130ec44f3e
2010lvmq	attach:019f1a06-68d3-75c6-9d19-5b6479d1e5b4
2010lvqual	attach:019f1a07-103f-728b-9368-8861314a9f66
2010lvsipp	create	019f1a00-c1fb-71c7-87d6-6e717ea7455b
2010mansebigbang	attach:019f1a01-c42d-7064-83d4-b317a44982bd
2010marchmadness	attach:019f1a06-f5ad-7246-be23-f7e2a0b83008
2010mfecane	attach:019f1a18-5d15-75b6-8965-a33aa60577ec
2010mglq	attach:019f1a07-72d3-7289-a030-435882206c7b
2010mm16tampere	create	019f1a00-7493-7269-af1a-679d67e51cf9
2010mm19tf	create	019f1a00-5d4f-7642-9e53-38f1879f8f2e
2010mm20tf	create	019f1a00-5d4f-7642-9e53-38f1879f8f2e
2010mm21tf	create	019f1a00-5d4f-7642-9e53-38f1879f8f2e
2010mm22tf	create	019f1a00-5d4f-7642-9e53-38f1879f8f2e
2010mmbmbh	attach:019f1a01-f9a6-7478-942b-fe0abf525d92
2010mmxiv	create	019f1a00-646d-77bf-be19-f53a5d957676
2010mondaymayhem16	attach:019f1a18-585d-734c-89e7-fee43f081c6d
2010motenyc	attach:019f1a18-60b1-74d6-a4cd-ed0ccffa8272
2010mqlisbon	create	019f1a00-45d3-73ec-8b00-044053a70682
2010mqnol	attach:019f1a07-948a-75dd-9b13-27593b3c54e0
2010mqpf	create	019f1a00-4c4d-7724-9f24-901172a83fda
2010mtidbc1	create	019f19ff-9809-70f9-9beb-870084e37f23
2010mtidbc2	create	019f19ff-9809-70f9-9beb-870084e37f23
2010nacd1	attach:019f1a07-7cf5-72f5-aea5-7147549c48af
2010nacd2	attach:019f1a07-87ff-7469-a0b3-4d35514f2cc6
2010nbmqsh	attach:019f1a06-42fa-764b-86f9-600a8847d5e9
2010ncqcaen	attach:019f1a18-6024-7153-86c1-e0a3e76a64ac
2010neonateparis	attach:019f1a01-d43c-743a-9c65-8a2d9176a2f5
2010nerqwri	attach:019f1a01-da1d-72c7-a2d6-856eb41b63cd
2010newspringmq	attach:019f1a07-745f-7373-a4ae-dbb16e592bce
2010nmrnh	attach:019f1a07-883a-718a-8f5d-c089bbb0ea33
2010nordlicht	attach:019f1a06-25f7-7368-9c48-6b3fd744ef4f
2010norwegianecq	create	019f1a00-05d1-747f-b6fa-51a4ce00ec6e
2010nycq	create	019f19ff-ee90-7131-957c-007bc2b6ca22
2010nyctj	create	019f1a00-790a-7690-b148-b25574b57ba6
2010originssat	attach:019f1a18-5da9-7719-a7ea-b45d8ef235d5
2010originssun	create	019f19ff-f418-736c-812f-19e2d9343709
2010originsthu1	attach:019f1a18-5c3f-769f-97a3-98cb4127acfd
2010originsthu2	attach:019f1a07-7ab5-7344-9f59-b10bca00efaf
2010ossian	create	019f1a00-3811-7116-93f2-a41e0d7cf4c9
2010ozcc	attach:019f1a07-1dd7-773a-8f1c-23162fc33436
2010ozlcq	attach:019f1a05-f61b-7018-bcad-4de65907f3cb
2010parisecq	create	019f1a00-4fb8-746b-a2c2-b10d7fadc9f2
2010pcstockholm	create	019f19ff-b402-779c-932c-99168acfc5fa
2010perthmq	attach:019f1a06-d2f9-773a-89de-1a95a98ed57f
2010playtestbs	create	019f1a00-367d-769d-a526-7348200de62f
2010polishecq	attach:019f1a07-7749-772c-ad9d-caefceacaacc
2010polnats	attach:019f1a07-903a-7209-a3f9-48c24ddda171
2010pombtgermany	attach:019f1a18-5649-779d-98c2-20b8d710bd40
2010portuguesenc	attach:019f1a18-5a1f-7651-97f0-16d0a6c4f21b
2010primorome	create	019f1a00-53f3-71a3-b9df-1b9417febf64
2010psbarcelona	attach:019f1a01-a40c-71ca-98a4-aa280a11e5c9
2010psbinghamton	create	019f19ff-c121-72e8-bbfa-2faa4b9388e8
2010pshilversum	attach:019f1a01-b755-74b8-bf9a-999bcd1f66cc
2010psnnshf	create	019f1a00-6c60-75e6-a867-49933ded9ee4
2010psnono	attach:019f1a07-78ec-7610-a79f-3a1a83865705
2010psvillefort	attach:019f1a06-cb2d-74ce-9d76-8c740d72f3b3
2010pwbla1	attach:019f1a07-834a-7447-a9a7-27167eed6eac
2010pwbla3	create	019f19ff-9809-70f9-9beb-870084e37f23
2010pwbla4	create	019f19ff-fac0-7797-9bf7-2f2b3fe68a94
2010pwblaQ	attach:019f1a07-7811-70f5-8ecf-ae1ce130e8e0
2010pwmqwp	attach:019f1a06-8f68-7024-9046-73a21e73f500
2010pwrbscatalunya	create	019f1a00-8abf-7603-bf95-b05c28272933
2010qcflille	create	019f1a00-4e5a-741a-8a66-564683a36d58
2010qcfmarseille	create	019f1a00-bd55-7083-a54f-6854237fe164
2010qcfmqealastor	attach:019f1a07-82bf-71fd-b19d-7b16c13e0897
2010rbpfpl	create	019f1a00-4c0d-7338-a7bd-60e044cdb947
2010rciny	attach:019f1a18-5c38-70ae-ab16-1c2bdca0832b
2010rdjbcc	create
2010resurrectiongs	create	019f1a00-5ab4-71ce-86d9-de1c175240c6
2010reunionkamutco	attach:019f1a07-852e-71d7-98eb-9a6d1db45fbd
2010risingco	attach:019f1a06-a4bb-7639-9248-d2312bf80d79
2010rr3pf	attach:019f1a07-87f8-74b7-bd95-5183dcde43ac
2010sabiano	attach:019f1a01-f924-730f-b552-59677e34ec6d
2010salinencon	create	019f19ff-ae13-7599-9fed-7ed0528ff0eb
2010sanationals	attach:019f1a07-9535-7506-adcd-6e61f65c7f33
2010sanqadelaide	attach:019f1a06-f161-748b-bee5-4730e80347ba
2010scottishecq	attach:019f1a07-9164-72c1-8b91-6039d2799c4a
2010sevenup	attach:019f1a18-5a47-7315-a00a-0447c119336e
2010shfsd1	attach:019f1a07-789f-74cf-af36-be4ff5263c3b
2010shfsd2	create	019f1a00-7e1f-7172-bf38-0d30fb29cb30
2010singaporeq	attach:019f1a07-7516-755a-8e4d-183ece298cad
2010slovakecq	attach:019f1a18-54be-7624-bb7f-6e100510eb30
2010sncorebro	attach:019f1a07-9614-70b0-afc4-be48a93f96c5
2010sodmh	create	019f1a00-6800-770c-864a-276ac67bfe5c
2010spanishnats	attach:019f1a07-8ea8-74dd-b5f3-dd31f364c5cd
2010svmb	attach:019f1a06-4429-76c2-ab79-68cc7f0e34b8
2010sydneyaq	attach:019f1a07-258d-7474-aa42-2b57f05797ec
2010tbbarcelona	create	019f1a00-35ba-71e6-8e57-96f0bb75d0ea
2010tcdbng	attach:019f1a01-e45f-77ae-b94a-ca12862b312b
2010texasqualifier	create	019f19ff-cb71-734e-8323-9d61d841161e
2010theunnamedctsa	attach:019f1a18-5527-7387-a5d0-5ffd454ecbba
2010theunnamedhm	create	019f19ff-88ca-7634-bd7d-f5b5d8988a7a
2010thrillerno	attach:019f1a07-922e-7737-a19c-12a9002a4754
2010tjindar	attach:019f1a18-b965-73fa-9897-4602701e54eb
2010tlaatl	attach:019f1a07-004d-7102-85d6-f9607f68eeb6
2010tnchileno	attach:019f1a07-8d0d-73fa-866f-a4e94941aa0c
2010tracon	attach:019f1a07-9224-7443-9941-f398c897220a
2010treatmentboston	create	019f19ff-ecc9-758e-9434-048674b08b8d
2010ttbalgg	create	019f1a00-c2bb-705c-b3a7-9f6dbe8bb16c
2010ubootk3	attach:019f1a07-78c4-7288-9e6a-909d32b6ad07
2010uhfno	attach:019f1a07-7e90-7690-af78-3b6a44318d4a
2010uknats	create	019f1a00-4707-71ad-8a9c-d14e1e34b68d
2010unleashpf	create	019f1a00-80c4-7337-8f11-7f2d86be2af2
2010uschamp	attach:019f1a18-5994-74ed-ab62-7d8ea18e5bf8
2010vicqual	attach:019f1a07-4f9b-77ef-a478-a3daa74ee0ec
2010warpartybp	attach:019f1a07-7ba7-7314-b51d-10947f357040
2010wcksweden	create	019f19ff-d27e-74da-940a-b444199d9fa2
2010wdco	attach:019f1a06-d949-74a0-bd04-3a4152b45014
2010westervillemq	attach:019f1a18-5675-7412-990c-e1c89f81efa7
2010wineandcheese	attach:019f1a07-76ed-76f5-a8d1-35c3506cdbfa
2010wpbpoct	create	019f1a00-8064-7609-9c69-19b6b65e85ad
2010wpbydgoszczpoland	attach:019f1a07-8dae-773f-95cd-6bdf6ff57ec8
20114toccd	create	019f1a00-6bf0-77e5-81b6-3d299c8c4387
2011MM26	create	019f1a00-7493-7269-af1a-679d67e51cf9
2011MM27	create	019f1a00-5dbe-76ec-928a-bada7d2c303b
2011NACd1	create	019f19ff-f78d-70c2-8441-9d57ff9bdce0
2011NACd2	create	019f1a00-2240-70ea-90ec-9935a8400eb4
2011acchamp	create	019f1a00-7e1f-7172-bf38-0d30fb29cb30
2011acclcq	create	019f19ff-8954-7075-b3db-5681bc6cfee5
2011acqqcp	create	019f19ff-8d41-7753-bec8-f9766c35afda
2011aesbs	create	019f1a00-312b-757f-8f49-3e6df28924b8
2011alastorparis	attach:019f1a18-65fe-72ba-a3af-034f0d3e7749
2011ano	create	019f1a00-1dfa-72fd-bc5f-61fe8740769c
2011aoetpa	attach:019f1a18-7458-7203-843a-7dc98e31d7ae
2011apvltkp	attach:019f1a18-aa8f-717e-81cd-6bcd41268bc7
2011asbi	create	019f1a00-5cb2-7677-8428-c453470a6a64
2011asdccf	create	019f19ff-8753-764b-9478-7912240c7c25
2011asiancc	create	019f19ff-da1e-7524-9963-d0e201a486d1
2011asjcq	create	019f19ff-fac0-7797-9bf7-2f2b3fe68a94
2011atdbwp	attach:019f1a18-73d5-727c-b95c-22a3720ccdca
